22,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
,,ID,OD,CRS,THK,WEB WID,WebThk,Note1,Note2,Hole Dia,Kg,Blank kg,Spacer kg,PADDLE BLANK,PADDLE SPACER,bolt size unc,iso sb size,rf sb length,rtj sb len,dist between flanges,sb len
0+1/2,15,0.84,2.56,3.5,1,1.5,0.51,Optional Raised Face,0.5,0.875,1.27,0.67,0.6,PADDLE BLANK,PADDLE SPACER,0+3/4,20,4.75,4.75,0.16,6
0+3/4,20,1.05,2.88,3.75,1.12,1.75,0.59,Optional Raised Face,0.5,0.875,1.77,0.95,0.82,PADDLE BLANK,PADDLE SPACER,0+3/4,20,5,5,0.16,6.5
1,25,1.32,3.25,4.25,1.12,2.12,0.59,Optional Raised Face,0.5,1,2.25,1.22,1.02,PADDLE BLANK,PADDLE SPACER,0+7/8,24,5.5,5.5,0.16,7
1+1/4,32,1.66,4,5.12,1.38,2.12,0.71,Optional Raised Face,0.5,1.125,4.19,2.29,1.9,PADDLE BLANK,PADDLE SPACER,1,27,6,6,0.12,7.75
1+1/2,40,1.9,4.5,5.75,1.5,2.38,0.78,Optional Raised Face,0.5,1.25,5.66,3.1,2.55,PADDLE BLANK,PADDLE SPACER,1+1/8,30,6.75,6.75,0.12,8.5
2,50,2.38,5.25,6.75,1.62,2.25,0.82,Optional Raised Face,0.5,1.125,8.17,4.56,3.6,PADDLE BLANK,PADDLE SPACER,1,27,7,7,0.12,8.75
2+1/2,65,2.88,5.88,7.75,1.88,2.38,0.94,Optional Raised Face,0.5,1.25,11.72,6.66,5.06,PADDLE BLANK,PADDLE SPACER,1+1/8,30,7.75,8,0.12,10.25
3,80,3.5,6.62,9,2,3,1.02,Optional Raised Face,0.5,1.375,15.48,9,6.47,PADDLE BLANK,PADDLE SPACER,1+1/4,33,8.75,9,0.12,11.25
3+1/2,90,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4,100,4.5,8,10.75,2.5,3.25,1.89,Optional Raised Face,0.5,1.625,27.68,16.43,11.25,PADDLE BLANK,PADDLE SPACER,1+1/2,39,10,10.75,0.16,13.5
5,130,5.56,9.5,12.75,2.88,3.5,2.16,Optional Raised Face,0.5,1.875,44.25,26.69,17.56,PADDLE BLANK,PADDLE SPACER,1+3/4,42,11.75,12.25,0.16,15.5
6,150,6.62,11,14.5,3.25,3.75,2.44,Optional Raised Face,0.5,2.125,66.11,40.37,25.73,PADDLE BLANK,PADDLE SPACER,2,52,13.5,14,0.16,17.5
8,200,8.62,13.38,17.25,3.88,3.75,2.91,Optional Raised Face,0.5,2.125,113.46,71.58,41.88,PADDLE BLANK,PADDLE SPACER,2,52,15,15.5,0.19,19.75
10,250,10.75,16.75,21.25,4.62,3.58,3.46,Optional Raised Face,0.5,2.625,211.21,133.05,78.15,PADDLE BLANK,PADDLE SPACER,2+1/2,64,19.25,20,0.25,25
12,300,12.75,19.5,24.38,5.25,6,3.97,Optional Raised Face,0.5,2.875,322.59,205.27,117.32,PADDLE BLANK,PADDLE SPACER,2+3/4,72,21.25,22,0.31,27.75
