10,2,3,4,5,6,7,8,9,10
nb,nb,od,id,height,width,end flat,chamfer,rad,wtkg
RX-20,RX-20,3,2.31,0.75,0.344,0.182,0.125,0.06,0.239
RX-23,RX-23,3.672,2.73,1,0.469,0.254,0.167,0.06,0.514
RX-24,RX-24,4.172,3.23,1,0.469,0.254,0.167,0.06,0.608
RX-25,RX-25,4.313,3.62,0.75,0.344,0.182,0.125,0.06,0.375
RX-26,RX-26,4.406,3.46,1,0.469,0.254,0.167,0.06,0.652
RX-27,RX-27,4.656,3.71,1,0.469,0.254,0.167,0.06,0.699
RX-31,RX-31,5.297,4.35,1,0.469,0.254,0.167,0.06,0.82
RX-35,RX-35,5.797,4.85,1,0.469,0.254,0.167,0.06,0.914
RX-37,RX-37,6.297,5.35,1,0.469,0.254,0.167,0.06,1.008
RX-39,RX-39,6.797,5.85,1,0.469,0.254,0.167,0.06,1.102
RX-41,RX-41,7.547,6.6,1,0.469,0.254,0.167,0.06,1.243
RX-44,RX-44,8.047,7.1,1,0.469,0.254,0.167,0.06,1.337
RX-45,RX-45,8.734,7.79,1,0.469,0.254,0.167,0.06,1.467
RX-46,RX-46,8.75,7.68,1.125,0.531,0.263,0.188,0.06,1.843
RX-47,RX-47,9.656,8.09,1.625,0.781,0.407,0.271,0.09,4.123
RX-49,RX-49,11.047,10.1,1,0.469,0.254,0.167,0.06,1.902
RX-50,RX-50,11.156,9.84,1.25,0.656,0.335,0.208,0.06,3.239
RX-53,RX-53,13.172,12.23,1,0.469,0.254,0.167,0.06,2.302
RX-54,RX-54,13.281,11.96,1.25,0.656,0.335,0.208,0.06,3.938
RX-57,RX-57,15.422,14.48,1,0.469,0.254,0.167,0.06,2.725
RX-63,RX-63,17.391,15.26,2,1.063,0.582,0.333,0.09,13.025
RX-65,RX-65,18.922,17.98,1,0.469,0.254,0.167,0.06,3.384
RX-66,RX-66,18.031,16.71,1.25,0.656,0.335,0.208,0.06,5.501
RX-69,RX-69,21.422,20.48,1,0.469,0.254,0.167,0.06,3.854
RX-70,RX-70,21.656,20.09,1.625,0.781,0.407,0.271,0.09,10.237
RX-73,RX-73,23.469,22.4,1.25,0.531,0.263,0.208,0.06,5.97
RX-74,RX-74,23.656,22.09,1.625,0.781,0.407,0.271,0.09,11.256
RX-82,RX-82,2.672,1.73,1,0.469,0.254,0.167,0.06,0.326
RX-84,RX-84,2.922,1.98,1,0.469,0.254,0.167,0.06,0.373
RX-85,RX-85,3.547,2.48,1,0.531,0.263,0.167,0.06,0.529
RX-86,RX-86,4.078,2.89,1.125,0.594,0.335,0.188,0.06,0.775
RX-87,RX-87,4.453,3.26,1.125,0.594,0.335,0.188,0.06,0.875
RX-88,RX-88,5.484,4.1,1.25,0.688,0.407,0.208,0.06,1.418
RX-89,RX-89,5.109,3.67,1.25,0.719,0.407,0.208,0.06,1.324
RX-90,RX-90,6.875,5.31,1.75,0.781,0.479,0.292,0.09,2.914
RX-91,RX-91,11.297,8.92,1.781,1.188,0.78,0.297,0.09,7.576
RX-99,RX-99,9.672,8.73,1,0.469,0.254,0.167,0.06,1.643
RX-201,RX-201,2.026,1.57,0.445,0.226,0.126,0.057,0.02,0.063
RX-205,RX-205,2.453,2.01,0.437,0.219,0.12,0.072,0.02,0.077
RX-210,RX-210,3.844,3.09,0.75,0.375,0.213,0.125,0.03,0.349
RX-215,RX-215,5.547,4.6,1,0.469,0.21,0.167,0.06,0.867
