47,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
nb,nb,od,thickness,hub-x,hub-a,thd thk,lapped thk,wn thk,lapped id,rf dia,rf height,rtj rf dia,rtj rf height,ring no,dist betwn flgs,socket depth,nb,pcd,no of bolts,bolt size unc,SPARE,rf sb length,rtj sb len,hole size,iso sb size,wn kg,so kg,bld kg,spa,nb,so bore,hub rad,lapped rad,bld thk,rtj dia,rtj depth,rtj width F,rtj root rad,bolts wt rf,bolts wt rtj,Orif hole dia,RTJ HOLE SIZE,bore1,bore2,thread len,counter b
1,25,125,36.6,54,33.5,N/A,N/A,81,N/A,50.8,2,N/A,6.35,16,4,N/A,1,88.9,4,0+5/8,N/A,125,140,0+11/16,16,5.5,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,50.8,6.35,8.74,0.8,1.21540608,1.31186688,6.4,19.05,N/A,N/A,N/A,N/A
1+1/2,40,155,36.6,70,48.3,N/A,N/A,84,N/A,73,2,N/A,6.35,20,4,N/A,1+1/2,114.3,4,0+3/4,N/A,135,140,0+13/16,20,7.8,N/A,N/A,N/A,1+1/2,N/A,N/A,N/A,N/A,68.27,6.35,8.74,0.8,1.74,1.78,6.4,22.225,N/A,N/A,N/A,N/A
2,50,165,36.6,84,60.3,N/A,N/A,84,N/A,92.1,2,N/A,7.92,23,5,N/A,2,127,8,0+5/8,N/A,125,140,0+11/16,16,8.3,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,82.55,7.92,11.91,0.8,1.95,2.12,6.4,19.05,N/A,N/A,N/A,N/A
2+1/2,65,190,36.6,100,73,N/A,N/A,87,N/A,104.8,2,N/A,7.92,26,5,N/A,2+1/2,149.2,8,0+3/4,N/A,135,145,0+13/16,20,10.8,N/A,N/A,N/A,2+1/2,N/A,N/A,N/A,N/A,101.6,7.92,11.91,0.8,3.48,3.65,6.4,22.225,N/A,N/A,N/A,N/A
3,80,210,36.6,117,88.9,N/A,N/A,87,N/A,127,2,N/A,7.92,31,5,N/A,3,168.3,8,0+3/4,N/A,135,145,0+13/16,20,12.6,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,123.83,7.92,11.91,0.8,3.48,3.65,9.5,22.225,N/A,N/A,N/A,N/A
4,100,275,38.1,152,114.3,N/A,N/A,102,N/A,157.2,7,N/A,7.92,37,5,N/A,4,215.9,8,0+7/8,N/A,150,165,1,24,19,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,149.23,7.92,11.91,0.8,5.76,6.12,12.7,25.4,N/A,N/A,N/A,N/A
6,150,355,47.7,222,168.3,N/A,N/A,117,N/A,215.9,7,N/A,7.92,45,5,N/A,6,292.1,12,1,N/A,180,190,1+1/8,27,37,N/A,N/A,N/A,6,N/A,N/A,N/A,N/A,211.12,7.92,11.91,0.8,13.11,13.58,12.7,28.575,N/A,N/A,N/A,N/A
8,200,420,55.6,273,219.1,N/A,N/A,133,N/A,269.9,7,N/A,7.92,49,5,N/A,8,349.2,12,1+1/8,N/A,195,210,1+1/4,30,53,N/A,N/A,N/A,8,N/A,N/A,N/A,N/A,269.88,7.92,11.91,0.8,17.72,18.56,12.7,31.75,N/A,N/A,N/A,N/A
10,250,510,63.5,343,273,N/A,N/A,152,N/A,323.8,7,N/A,7.92,53,5,N/A,10,431.8,16,1+1/4,N/A,220,235,1+3/8,33,86,N/A,N/A,N/A,10,N/A,N/A,N/A,N/A,323.85,7.92,11.91,0.8,31.72,33.1,12.7,34.925,N/A,N/A,N/A,N/A
12,300,560,66.7,400,323.8,N/A,N/A,156,N/A,381,7,N/A,7.92,57,5,N/A,12,489,20,1+1/4,N/A,230,240,1+3/8,33,102,N/A,N/A,N/A,12,N/A,N/A,N/A,N/A,381,7.92,11.91,0.8,40.81,41.95,12.7,34.925,N/A,N/A,N/A,N/A
14,350,605,69.9,432,355.6,N/A,N/A,165,N/A,412.8,7,N/A,7.92,61,5,N/A,14,527,20,1+3/8,N/A,240,255,1+1/2,36,150,N/A,N/A,N/A,14,N/A,N/A,N/A,N/A,419.1,7.92,11.91,0.8,53.2,55.32,12.7,38.1,N/A,N/A,N/A,N/A
16,400,685,76.2,495,406.4,N/A,N/A,178,N/A,469.9,7,N/A,7.92,65,5,N/A,16,603.2,20,1+1/2,N/A,260,276,1+5/8,39,190,N/A,N/A,N/A,16,N/A,N/A,N/A,N/A,469.9,7.92,11.91,0.8,68.44,84.2475816,12.7,41.275,N/A,N/A,N/A,N/A
18,450,745,82.6,546,457.2,N/A,N/A,184,N/A,533.4,7,N/A,7.92,69,5,N/A,18,654,20,1+5/8,N/A,280,290,1+3/4,42,240,N/A,N/A,N/A,18,N/A,N/A,N/A,N/A,533.4,7.92,11.91,0.8,87.01,88.97,12.7,44.45,N/A,N/A,N/A,N/A
20,500,815,88.9,610,508,N/A,N/A,190,N/A,584.2,7,N/A,9.53,73,5,N/A,20,723.9,24,1+5/8,N/A,300,320,1+3/4,42,295,N/A,N/A,N/A,20,N/A,N/A,N/A,N/A,584.2,9.53,13.49,1.5,109.15,113.88,12.7,44.45,N/A,N/A,N/A,N/A
24,600,940,101.6,718,609.6,N/A,N/A,203,N/A,692.2,7,N/A,11.13,77,6,N/A,24,838.2,24,1+7/8,N/A,335,350,2,48,365,N/A,N/A,N/A,24,N/A,N/A,N/A,N/A,692.15,11.13,16.66,1.5,162.52,167.18,12.7,50.8,N/A,N/A,N/A,N/A
